experiment,method,methods,features_added,split,train_rows,evaluation_rows,transformed_feature_count,mae,rmse,rmsle,r2,rmse_improvement,rmse_improvement_pct,mae_improvement,mae_improvement_pct,rmsle_improvement,rmsle_improvement_pct
baseline,Baz model (yeni feature yok),none,Yok,validation,798,218,71,17368.965053278298,26296.491553018655,0.12892842130235546,0.8913686530891995,0.0,0.0,0.0,0.0,0.0,0.0
combination,Birleştirme,combination,"TotalSF, TotalBathrooms",validation,798,218,73,17369.855836670988,26318.060079164774,0.12894656075446997,0.8911903799595302,-21.56852614611853,-0.0820205467434024,-0.8907833926896274,-0.005128592233084704,-1.8139452114512844e-05,-0.014069397524051935
decomposition,Ayrıştırma,decomposition,"BuildDecade, BuildYearInDecade, RemodelDecade, RemodelYearInDecade",validation,798,218,75,17347.190814873764,26350.434198951363,0.12926484420040155,0.8909225196183324,-53.94264593270782,-0.20513248249847071,21.774238404534117,0.12536290065494918,-0.00033642289804608483,-0.2609377316868911
transformation,Dönüştürme,transformation,"LogLotArea, LogGrLivArea, LogLotFrontage, LogOpenPorchSF, LogTotalBsmtSF, Log1stFlrSF, Log2ndFlrSF, LogGarageArea",validation,798,218,79,15876.006528796961,27932.23720872662,0.1178890654910089,0.8774337245772229,-1635.745655707964,-6.220395037908362,1492.958524481337,8.595552584173973,0.01103935581134656,8.562391208884582
interaction,Etkileşim,interaction,"Qual_x_GrLivArea, Qual_x_TotalBsmtSF, Qual_x_GarageCars",validation,798,218,74,17518.007032050347,28536.474256753118,0.1251523215255587,0.8720736013558213,-2239.982703734462,-8.518180834953732,-149.04197877204933,-0.8580936072752272,0.0037760997767967708,2.9288342621843486
indicator,Binary / Indicator,indicator,"HasGarage, HasBasement, HasFireplace, HasSecondFloor, HasOpenPorch, WasRemodeled",validation,798,218,77,17622.66060370717,26904.876309582014,0.13034581543940216,0.8862840077186184,-608.3847565633587,-2.3135586560539494,-253.69555042887077,-1.4606256023353972,-0.0014173941370466958,-1.0993651537256515
binning,Binning / Gruplama,binning,"Qual_Low/Mid/High, Built_Pre1946/1946_1970/1971_1999/2000Plus",validation,798,218,78,17538.640237276108,26206.25835000916,0.13008345899255888,0.8921128844563951,90.2332030094949,0.3431378015868309,-169.67518399780965,-0.976887128722643,-0.0011550376902034198,-0.8958751519144816
domain,Domain-based,domain,"HouseAge2010, RemodelAge2010, GarageAge2010, LivingAreaPerRoom, GarageAreaPerCar, FinishedBasementRatio",validation,798,218,77,16811.26562669402,26755.608654265972,0.12188732387384824,0.8875422951254203,-459.1171012473169,-1.7459253084072102,557.6994265842768,3.210896129237211,0.007041097428507226,5.461245361870097
current_project,Mevcut proje feature engineering'i,none,"TotalSF ve TotalBathrooms (kaynak kolonlar düşürülür); HasGarage, HasBasement, Qual_High, Qual_Low",validation,798,218,72,17139.18343960145,26007.074335989775,0.12803421414050706,0.8937466714722312,289.41721702888026,1.1005925122952653,229.7816136768488,1.3229436121957003,0.0008942071618484038,0.693568689367072
baseline,Baz model (yeni feature yok),none,Yok,test,1016,145,71,17236.028865452445,26494.275050026252,0.12404162539197383,0.8938315180192773,0.0,0.0,0.0,0.0,0.0,0.0
combination,Birleştirme,combination,"TotalSF, TotalBathrooms",test,1016,145,73,17243.196257267762,26496.574812661533,0.12408253301364981,0.8938130858935172,-2.2997626352807856,-0.008680224806824849,-7.167391815317387,-0.04158377704787653,-4.0907621675981276e-05,-0.032978946822659276
decomposition,Ayrıştırma,decomposition,"BuildDecade, BuildYearInDecade, RemodelDecade, RemodelYearInDecade",test,1016,145,75,17277.00952521599,26609.991447113858,0.12428714703014138,0.8929020898218732,-115.71639708760631,-0.43676000520531943,-40.98065976354701,-0.23776161019135814,-0.00024552163816754513,-0.19793487661234058
transformation,Dönüştürme,transformation,"LogLotArea, LogGrLivArea, LogLotFrontage, LogOpenPorchSF, LogTotalBsmtSF, Log1stFlrSF, Log2ndFlrSF, LogGarageArea",test,1016,145,79,16930.263308979036,28432.081863089934,0.12120349670217687,0.877733114851481,-1937.806813063682,-7.314058638723772,305.76555647340865,1.7739907426488424,0.002838128689796965,2.2880453886575784
interaction,Etkileşim,interaction,"Qual_x_GrLivArea, Qual_x_TotalBsmtSF, Qual_x_GarageCars",test,1016,145,74,17308.684187312265,27477.96320921506,0.12239533735874138,0.8858014467619109,-983.6881591888086,-3.7128328943947984,-72.6553218598201,-0.4215316789440345,0.0016462880332324542,1.3272061116823917
indicator,Binary / Indicator,indicator,"HasGarage, HasBasement, HasFireplace, HasSecondFloor, HasOpenPorch, WasRemodeled",test,1016,145,77,17703.3165002377,27247.550538351963,0.12586354028435282,0.8877086094078197,-753.2754883257112,-2.8431632377311065,-467.28763478525434,-2.7111096090229716,-0.001821914892378984,-1.4687931463504282
binning,Binning / Gruplama,binning,"Qual_Low/Mid/High, Built_Pre1946/1946_1970/1971_1999/2000Plus",test,1016,145,78,17850.882469124816,27161.43447346041,0.12671793555793914,0.8884172831265279,-667.1594234341574,-2.518126735585076,-614.8536036723708,-3.567257913478964,-0.002676310165965312,-2.1575903713838986
