OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,SalePrice
7,1710,CollgCr,2003,2003,5,856,706,856,854,2,548,Attchd,RFn,2003.0,2,1,8,Gd,Gd,Gd,No,0,Npfireplace,8450,65.0,60,RL,2Story,61,208500
6,1262,Veenker,1976,1976,8,1262,978,1262,0,2,460,Attchd,RFn,1976.0,2,0,6,TA,TA,Gd,Gd,1,TA,9600,80.0,20,RL,1Story,0,181500
7,1786,CollgCr,2001,2002,5,920,486,920,866,2,608,Attchd,RFn,2001.0,2,1,6,Gd,Gd,Gd,Mn,1,TA,11250,68.0,60,RL,2Story,42,223500
7,1717,Crawfor,1915,1970,5,756,216,961,756,3,642,Detchd,Unf,1998.0,1,0,7,Gd,TA,TA,No,1,Gd,9550,60.0,70,RL,2Story,35,140000
8,2198,NoRidge,2000,2000,5,1145,655,1145,1053,3,836,Attchd,RFn,2000.0,2,1,9,Gd,Gd,Gd,Av,1,TA,14260,84.0,60,RL,2Story,84,250000
5,1362,Mitchel,1993,1995,5,796,732,796,566,2,480,Attchd,Unf,1993.0,1,1,5,TA,TA,Gd,No,0,Npfireplace,14115,85.0,50,RL,1.5Fin,30,143000
8,1694,Somerst,2004,2005,5,1686,1369,1694,0,2,636,Attchd,RFn,2004.0,2,0,7,Gd,Gd,Ex,Av,1,Gd,10084,75.0,20,RL,1Story,57,307000
7,2090,NWAmes,1973,1973,6,1107,859,1107,983,2,484,Attchd,RFn,1973.0,2,1,7,TA,TA,Gd,Mn,2,TA,10382,80.0,60,RL,2Story,204,200000
7,1774,OldTown,1931,1950,5,952,0,1022,752,2,468,Detchd,Unf,1931.0,2,0,8,TA,TA,TA,No,2,TA,6120,51.0,50,RM,1.5Fin,0,129900
5,1077,BrkSide,1939,1950,6,991,851,1077,0,1,205,Attchd,RFn,1939.0,1,0,5,TA,TA,TA,No,2,TA,7420,50.0,190,RL,1.5Unf,4,118000
5,1040,Sawyer,1965,1965,5,1040,906,1040,0,1,384,Detchd,Unf,1965.0,1,0,5,TA,TA,TA,No,0,Npfireplace,11200,70.0,20,RL,1Story,0,129500
9,2324,NridgHt,2005,2006,5,1175,998,1182,1142,3,736,BuiltIn,Fin,2005.0,3,0,11,Ex,Ex,Ex,No,2,Gd,11924,85.0,60,RL,2Story,21,345000
5,912,Sawyer,1962,1962,6,912,737,912,0,1,352,Detchd,Unf,1962.0,1,0,4,TA,TA,TA,No,0,Npfireplace,12968,70.0,20,RL,1Story,0,144000
7,1494,CollgCr,2006,2007,5,1494,0,1494,0,3,840,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Gd,Av,1,Gd,10652,91.0,20,RL,1Story,33,279500
6,1253,NAmes,1960,1960,5,1253,733,1253,0,1,352,Attchd,RFn,1960.0,1,1,5,TA,TA,TA,No,1,Fa,10920,73.0,20,RL,1Story,213,157000
7,854,BrkSide,1929,2001,8,832,0,854,0,2,576,Detchd,Unf,1991.0,1,0,5,TA,TA,TA,No,0,Npfireplace,6120,51.0,45,RM,1.5Unf,112,132000
6,1004,NAmes,1970,1970,7,1004,578,1004,0,2,480,Attchd,Fin,1970.0,1,0,5,TA,TA,TA,No,1,TA,11241,73.0,20,RL,1Story,0,149000
4,1296,Sawyer,1967,1967,5,0,0,1296,0,2,516,CarPort,Unf,1967.0,2,0,6,TA,TA,NoBasement,NoBasement,0,Npfireplace,10791,72.0,90,RL,1Story,0,90000
5,1114,SawyerW,2004,2004,5,1114,646,1114,0,2,576,Detchd,Unf,2004.0,1,1,6,Gd,TA,TA,No,0,Npfireplace,13695,66.0,20,RL,1Story,102,159000
5,1339,NAmes,1958,1965,6,1029,504,1339,0,1,294,Attchd,Unf,1958.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7560,70.0,20,RL,1Story,0,139000
8,2376,NridgHt,2005,2006,5,1158,0,1158,1218,3,853,BuiltIn,RFn,2005.0,3,1,9,Gd,Gd,Ex,Av,1,Gd,14215,101.0,60,RL,2Story,154,325300
7,1108,IDOTRR,1930,1950,7,637,0,1108,0,1,280,Attchd,Unf,1930.0,1,0,6,Gd,TA,TA,No,1,Gd,7449,57.0,45,RM,1.5Unf,0,139400
8,1795,CollgCr,2002,2002,5,1777,0,1795,0,2,534,Attchd,RFn,2002.0,2,0,7,Gd,Gd,Gd,No,1,Gd,9742,75.0,20,RL,1Story,159,230000
5,1060,MeadowV,1976,1976,7,1040,840,1060,0,2,572,Attchd,Unf,1976.0,1,0,6,TA,TA,Gd,No,1,TA,4224,44.0,120,RM,1Story,110,129900
5,1060,Sawyer,1968,2001,8,1060,188,1060,0,1,270,Attchd,Unf,1968.0,1,0,6,Gd,TA,TA,Mn,1,TA,8246,70.0,20,RL,1Story,90,154000
8,1600,NridgHt,2007,2007,5,1566,0,1600,0,3,890,Attchd,RFn,2007.0,2,0,7,Gd,Gd,Gd,No,1,Gd,14230,110.0,20,RL,1Story,56,256300
5,900,NAmes,1951,2000,7,900,234,900,0,2,576,Detchd,Unf,2005.0,1,0,5,Gd,TA,TA,Mn,0,Npfireplace,7200,60.0,20,RL,1Story,32,134800
