OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,SalePrice
9,1838,Timber,2006,2006,5,1838,1260,1838,0,3,765,Attchd,Fin,2006.0,2,0,8,Ex,Ex,Ex,Av,1,Gd,14601,85.0,20,RL,1Story,68,315000
6,1386,Sawyer,1978,1978,5,672,438,672,714,2,440,Attchd,Fin,1978.0,2,1,6,TA,TA,TA,Mn,1,TA,11616,70.0,60,RL,2Story,0,158900
5,955,Sawyer,1966,1966,7,955,763,955,0,1,386,Attchd,Unf,1966.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7742,66.0,20,RL,1Story,0,127000
6,2073,NWAmes,1978,1988,6,1542,790,2073,0,2,500,Attchd,Unf,1978.0,2,0,7,TA,TA,Gd,No,2,TA,13175,85.0,20,RL,1Story,0,210000
7,1734,CollgCr,2005,2005,5,1734,1300,1734,0,2,660,Attchd,Fin,2005.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,11645,78.0,20,RL,1Story,24,260000
6,1509,Gilbert,2002,2003,5,783,457,807,702,2,393,Attchd,Fin,2002.0,2,1,7,Gd,Gd,Gd,No,1,Gd,7861,65.0,60,RL,2Story,75,183200
7,1364,NridgHt,2005,2005,5,1364,659,1364,0,2,484,Attchd,RFn,2005.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,7052,43.0,120,RL,1Story,36,185850
6,1285,Sawyer,1977,1977,5,660,0,1285,0,2,528,Attchd,RFn,1977.0,1,1,7,TA,TA,TA,No,1,TA,8197,71.0,20,RL,1Story,0,143500
6,1502,Crawfor,1923,1996,7,602,0,900,602,1,180,Detchd,Unf,1923.0,1,1,7,Gd,TA,TA,No,2,TA,10592,55.0,70,RL,2Story,0,165000
4,816,Edwards,1938,1958,6,816,690,816,0,1,288,Detchd,Unf,1958.0,1,0,3,TA,TA,TA,Mn,1,Gd,8877,67.0,20,RL,1Story,0,100000
9,2224,NridgHt,2004,2005,5,1462,1170,1462,762,3,738,Attchd,Fin,2004.0,2,1,10,Ex,Gd,Ex,No,1,Gd,8834,74.0,60,RL,2Story,0,350000
5,965,SawyerW,1965,1965,5,828,641,965,0,1,300,Detchd,Unf,1979.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7800,60.0,20,RH,1Story,0,119900
7,1494,CollgCr,2002,2002,5,1494,922,1494,0,2,530,Attchd,RFn,2002.0,2,0,6,Gd,Gd,Gd,Mn,1,TA,12803,88.0,20,RL,1Story,36,221000
