OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF
6,1716,NAmes,1962,1962,6,858,319,858,858,2,490,Attchd,Fin,1962.0,1,1,8,TA,TA,TA,No,1,Gd,9247,70.0,60,RL,2Story,84
5,1113,NAmes,1950,2007,7,1113,607,1113,0,1,264,Attchd,Unf,1950.0,1,0,5,Gd,Gd,TA,No,1,Gd,9600,80.0,20,RL,1Story,80
6,1470,Gilbert,1993,1993,8,680,310,680,790,2,420,BuiltIn,Fin,1993.0,2,1,6,TA,Ex,Gd,No,1,TA,9765,65.0,60,RL,2Story,63
5,1264,NAmes,1960,1960,5,1268,697,1264,0,2,461,Attchd,Unf,1960.0,1,0,6,TA,TA,TA,No,2,Gd,9300,73.0,20,RL,1Story,0
6,1647,SWISU,1915,1950,4,806,0,841,806,1,216,Detchd,Unf,1920.0,1,1,6,Fa,TA,Gd,No,0,Npfireplace,6858,66.0,70,RL,2Story,66
6,1489,NWAmes,1968,1968,7,1489,0,1489,0,2,462,Attchd,RFn,1968.0,2,0,7,Gd,TA,TA,No,1,Gd,9156,80.0,20,RL,1Story,0
8,2715,NWAmes,1976,1996,9,1142,575,1175,1540,2,831,BuiltIn,Fin,1994.0,3,1,11,Gd,Ex,TA,No,2,TA,8963,80.0,60,RL,2Story,204
8,1646,Timber,2006,2007,5,1638,0,1646,0,3,870,Attchd,RFn,2007.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,10656,67.0,20,RL,1Story,80
5,1535,SawyerW,1979,1979,5,0,0,1535,0,2,400,Attchd,Unf,1979.0,2,0,8,TA,TA,NoBasement,NoBasement,0,Npfireplace,7018,64.0,90,RL,1Story,0
8,2524,NWAmes,1981,1981,5,2524,1104,2524,0,2,542,Attchd,Fin,1981.0,2,1,9,Gd,Gd,Gd,No,1,Gd,9600,80.0,20,RL,1Story,120
5,1696,Sawyer,1962,1962,5,1140,0,1696,0,1,349,Attchd,RFn,1962.0,1,1,8,TA,TA,TA,No,1,TA,13673,40.0,20,RL,1Story,30
4,788,BrkSide,1941,1950,5,788,266,788,0,0,0,NoGarage,NoGarage,0.0,1,0,4,TA,TA,TA,No,2,TA,7446,51.0,30,RL,1Story,0
5,773,NAmes,1953,1953,5,773,570,773,0,1,240,Attchd,Unf,1953.0,1,0,4,TA,TA,TA,No,0,Npfireplace,7677,57.0,20,RL,1Story,0
5,1268,NAmes,1949,1950,7,832,375,1036,0,1,288,Attchd,Unf,1949.0,1,0,6,TA,Gd,TA,No,1,Gd,12144,60.0,40,RL,1Story,28
5,1077,IDOTRR,1920,1950,2,961,0,1077,0,1,338,Detchd,Unf,1920.0,1,0,6,TA,TA,Fa,No,0,Npfireplace,8967,60.0,30,RM,1Story,0
8,3279,StoneBr,2003,2003,5,1650,1416,1690,1589,3,841,BuiltIn,Fin,2003.0,3,1,12,Ex,Ex,Gd,Gd,1,Gd,53504,47.0,60,RL,2Story,36
6,1114,SawyerW,2003,2004,5,1114,814,1114,0,2,576,Detchd,Unf,2004.0,1,0,6,Gd,TA,Gd,No,0,Npfireplace,13695,66.0,20,RL,1Story,78
6,2058,OldTown,1917,1950,5,735,319,1134,924,2,396,Detchd,Unf,1950.0,1,1,8,TA,TA,Gd,No,1,Gd,9600,60.0,75,RM,2.5Unf,0
5,954,Crawfor,1938,1950,7,920,0,954,0,1,240,Basment,Unf,1938.0,1,0,5,Fa,TA,Fa,No,1,Gd,6305,50.0,30,RL,1Story,0
9,1766,Somerst,2009,2009,5,1766,1121,1766,0,3,478,Attchd,Fin,2009.0,2,1,7,Ex,Ex,Ex,Mn,1,Gd,9187,85.0,20,FV,1Story,130
4,630,MeadowV,1972,1972,6,630,150,630,0,0,0,NoGarage,NoGarage,0.0,1,0,3,TA,TA,Gd,Av,0,Npfireplace,1491,21.0,180,RM,SFoyer,24
7,1894,Timber,2002,2003,5,817,624,824,1070,2,510,BuiltIn,Fin,2002.0,2,1,8,Gd,Gd,Gd,No,1,Gd,11316,80.0,60,RL,2Story,40
