OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF
8,1717,NridgHt,2006,2006,5,1709,0,1717,0,3,908,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Ex,Av,1,Gd,11146,87.0,20,RL,1Story,39
7,1266,Somerst,2005,2005,5,1257,0,1266,0,2,453,Attchd,Unf,2005.0,2,0,6,Gd,Gd,Gd,No,1,TA,7500,62.0,20,FV,1Story,144
6,1232,Veenker,1984,1984,6,1232,660,1232,0,2,516,Attchd,Unf,1984.0,2,0,6,TA,TA,Gd,No,0,Npfireplace,11120,68.0,20,RL,1Story,0
6,848,CollgCr,2004,2004,5,848,697,848,0,2,420,Attchd,RFn,2004.0,1,0,3,Gd,Gd,Gd,Gd,1,TA,4426,69.0,120,RM,1Story,0
7,1482,OldTown,1920,1988,9,650,624,832,650,2,324,Detchd,Unf,1930.0,1,0,7,TA,TA,TA,No,0,Npfireplace,9000,50.0,70,RM,2Story,0
4,693,OldTown,1941,1950,4,693,0,693,0,0,0,NoGarage,NoGarage,0.0,1,0,4,Fa,TA,TA,No,0,Npfireplace,4118,153.0,30,RM,1Story,20
6,1056,OldTown,1980,1980,5,1056,1056,1056,0,2,576,Detchd,Unf,1980.0,0,0,4,TA,TA,TA,No,0,Npfireplace,6979,64.0,90,RL,SFoyer,56
7,1164,NWAmes,1969,1969,5,1164,0,1164,0,2,528,Attchd,Unf,1969.0,1,1,6,TA,TA,TA,No,0,Npfireplace,9600,80.0,20,RL,1Story,0
7,1501,CollgCr,1999,1999,5,1490,679,1501,0,2,577,Attchd,RFn,1999.0,2,0,6,Gd,Gd,Gd,Gd,0,Npfireplace,10335,78.0,20,RL,1Story,29
6,1537,NAmes,1962,2005,9,1319,0,1537,0,2,462,Attchd,RFn,1962.0,1,1,7,Gd,Gd,TA,No,1,Gd,8400,80.0,20,RL,1Story,36
