OverallQual,count,mean,median,std,min,max
1,2,50150.0,50150.0,15344.217151748082,39300,61000
2,3,51770.333333333336,60000.0,14254.20079602267,35311,60000
3,20,87473.75,86250.0,24688.56739864362,37900,139600
4,116,108420.6551724138,108000.0,29022.00388553888,34900,256000
5,396,133437.547979798,133000.0,27087.593421010944,55993,228950
6,372,161350.56720430107,159750.0,36017.10295603849,76000,277000
7,315,207900.91746031746,201000.0,44703.840500880855,82500,383970
8,167,274961.497005988,270000.0,64023.72226016446,122000,538000
9,43,367513.0232558139,345000.0,81278.17484929628,239000,611657
10,17,437034.76470588235,426000.0,164562.9147687631,160000,755000
