Feature,Korelasyon
OverallQual,0.7900849201373092
GrLivArea,0.7100731003397662
GarageCars,0.6397492861021664
GarageArea,0.6224835657300107
TotalBsmtSF,0.6132992899680302
1stFlrSF,0.6069686642164592
FullBath,0.562709833097775
TotRmsAbvGrd,0.5363660897907171
YearBuilt,0.5232737996488446
YearRemodAdd,0.5074880521898552
Fireplaces,0.46897260312131045
BsmtFinSF1,0.3839946088853101
LotFrontage,0.3458683092046858
2ndFlrSF,0.3228396321521066
OpenPorchSF,0.31124358528427976
HalfBath,0.2823306040749202
LotArea,0.26466822224254827
GarageYrBlt,0.2615584157017153
MSSubClass,-0.08276049147653936
OverallCond,-0.07636091142185629
