model,train_fraction,train_samples,train_rmse,validation_rmse
Ridge Regression,0.2,160,23174.39262077368,36727.80698888
Ridge Regression,0.4,319,30071.408717910035,30718.260279148275
Ridge Regression,0.6,479,32353.605976623516,27532.275123393087
Ridge Regression,0.8,638,30352.283732941243,26157.40491419951
Ridge Regression,1.0,798,29729.536193735443,26007.074335989753
Random Forest,0.2,160,12283.061980681445,41278.80728356815
Random Forest,0.4,319,14170.617456519756,33186.80225854656
Random Forest,0.6,479,14669.913583976857,27949.956311641163
Random Forest,0.8,638,12753.564958834088,27405.151234782927
Random Forest,1.0,798,11998.990696991055,26331.91491201338
Gradient Boosting,0.2,160,222.27057723222302,40065.51914636956
Gradient Boosting,0.4,319,1677.7210140328432,32512.03583742777
Gradient Boosting,0.6,479,3311.542222642331,24759.23313382632
Gradient Boosting,0.8,638,4173.534370601149,24240.185805257308
Gradient Boosting,1.0,798,5156.123074894749,24171.754097903802
CatBoost,0.2,160,9239.063227282764,37382.732017549504
CatBoost,0.4,319,14949.627211703026,33938.34601252729
CatBoost,0.6,479,16637.134870060792,25546.293794212434
CatBoost,0.8,638,15879.227546015698,24379.92746507688
CatBoost,1.0,798,16730.02044470488,24734.367718467365
