Feature 1,Feature 2,Korelasyon
GarageCars,GarageArea,0.8824696531998583
GrLivArea,TotRmsAbvGrd,0.8255628719956637
TotalBsmtSF,1stFlrSF,0.8181066834217873
GrLivArea,2ndFlrSF,0.6904032079188358
GrLivArea,FullBath,0.629256961642251
2ndFlrSF,TotRmsAbvGrd,0.6176542349449443
2ndFlrSF,HalfBath,0.6099975475014788
OverallQual,GarageCars,0.6000551772251577
GarageCars,GarageYrBlt,0.5980384674036937
OverallQual,GrLivArea,0.5944309515010878
YearBuilt,YearRemodAdd,0.590324294171521
OverallQual,YearBuilt,0.5721286648962215
