Neighborhood,count,mean,median,std,min,max
NridgHt,76,314313.65789473685,314906.5,95480.83515939067,154000,611657
NoRidge,41,335295.31707317074,301500.0,121412.65864036564,190000,755000
StoneBr,25,310499.0,278000.0,112969.67664045958,170000,556581
Timber,37,244267.64864864864,228950.0,64516.42332737035,137500,378500
Somerst,83,226443.56626506025,226700.0,56874.97463954252,144152,423000
Veenker,11,238772.72727272726,218000.0,72369.31795877437,162500,385000
Crawfor,50,210824.74,208550.0,69550.59917956954,90350,392500
ClearCr,28,212565.42857142858,200250.0,50231.53899282104,130000,328000
CollgCr,149,197703.79865771811,196500.0,51476.464363610925,110000,424870
Blmngtn,17,194870.88235294117,191000.0,30393.22921902663,159895,264561
NWAmes,73,189050.0684931507,182900.0,37172.21810645119,82500,299800
Gilbert,78,192551.35897435897,181000.0,36118.04016197711,141000,377500
SawyerW,58,186584.3448275862,179550.0,56137.61490678837,76000,320000
Mitchel,49,156270.1224489796,153500.0,36486.62533360263,84500,271000
NPkVill,9,142694.44444444444,146000.0,9377.31452910575,127500,155000
NAmes,225,145847.08,140000.0,33075.345450263805,87500,345000
SWISU,25,142591.36,139500.0,32622.91767924302,60000,200000
Blueste,2,137500.0,137500.0,19091.883092036784,124000,151000
Sawyer,74,136793.13513513515,135000.0,22345.129156542916,62383,190000
BrkSide,58,124834.05172413793,124300.0,40348.689270401126,39300,223500
Edwards,100,128219.7,121750.0,43208.61645867324,58500,320000
OldTown,113,128225.30088495575,119000.0,52650.58318492049,37900,475000
BrDale,16,104493.75,106000.0,14330.176493446734,83000,125000
IDOTRR,37,100123.78378378379,103000.0,33376.71011693228,34900,169500
MeadowV,17,98576.4705882353,88000.0,23491.049609685513,75000,151400
