OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,BsmtFinSF1,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,HasGarage,HasBasement,TotalSF,TotalBathrooms,Qual_High,Qual_Low,SalePrice
9,1838,Timber,2006,2006,5,1260,3,765,Attchd,Fin,2006.0,8,Ex,Ex,Ex,Av,1,Gd,14601,85.0,20,RL,1Story,68,1,1,3676,2.0,1,0,315000
5,1140,Mitchel,2006,2006,5,0,0,0,NoGarage,NoGarage,0.0,6,TA,TA,Gd,No,0,Npfireplace,17217,90.0,20,RL,1Story,56,0,1,2280,1.0,0,0,84500
7,2090,NWAmes,1973,1973,6,859,2,484,Attchd,RFn,1973.0,7,TA,TA,Gd,Mn,2,TA,10382,80.0,60,RL,2Story,204,1,1,3197,2.5,0,0,200000
6,1386,Sawyer,1978,1978,5,438,2,440,Attchd,Fin,1978.0,6,TA,TA,TA,Mn,1,TA,11616,70.0,60,RL,2Story,0,1,1,2058,2.5,0,0,158900
5,955,Sawyer,1966,1966,7,763,1,386,Attchd,Unf,1966.0,6,TA,TA,TA,No,0,Npfireplace,7742,66.0,20,RL,1Story,0,1,1,1910,1.0,0,0,127000
7,1661,CollgCr,1998,1998,5,0,2,598,Attchd,RFn,1998.0,6,Gd,TA,Gd,No,0,Npfireplace,12137,48.0,20,RL,1Story,34,1,1,3310,2.0,0,0,224900
6,2073,NWAmes,1978,1988,6,790,2,500,Attchd,Unf,1978.0,7,TA,TA,Gd,No,2,TA,13175,85.0,20,RL,1Story,0,1,1,3615,2.0,0,0,210000
6,1476,CollgCr,2005,2005,5,193,2,540,Attchd,Fin,2005.0,7,Gd,Gd,Gd,No,0,Npfireplace,8633,64.0,60,RL,2Story,35,1,1,2214,2.5,0,0,173500
7,1734,CollgCr,2005,2005,5,1300,2,660,Attchd,Fin,2005.0,7,Gd,Gd,Gd,Av,0,Npfireplace,11645,78.0,20,RL,1Story,24,1,1,3468,2.0,0,0,260000
7,1530,Gilbert,2004,2004,5,1300,3,630,Attchd,Fin,2004.0,7,Gd,Gd,Gd,Av,1,Gd,14572,182.0,20,RL,1Story,36,1,1,3060,2.0,0,0,259000
5,1352,ClearCr,1958,1958,4,300,1,288,BuiltIn,Unf,1958.0,6,Gd,TA,TA,Av,0,Npfireplace,6930,92.0,80,RL,SLvl,0,1,1,2414,1.0,0,0,130000
6,1509,Gilbert,2002,2003,5,457,2,393,Attchd,Fin,2002.0,7,Gd,Gd,Gd,No,1,Gd,7861,65.0,60,RL,2Story,75,1,1,2292,2.5,0,0,183200
5,1652,OldTown,1915,1950,6,686,1,416,Detchd,Unf,1961.0,7,TA,TA,Fa,No,0,Npfireplace,10800,60.0,50,RM,1.5Fin,0,1,1,2338,2.0,0,0,139000
7,1364,NridgHt,2005,2005,5,659,2,484,Attchd,RFn,2005.0,6,Gd,Gd,Gd,Av,1,Gd,7052,43.0,120,RL,1Story,36,1,1,2728,2.0,0,0,185850
6,1252,NAmes,1959,1959,6,0,2,528,Detchd,Unf,1960.0,7,Gd,Gd,TA,No,0,Npfireplace,10721,80.0,20,RL,1Story,39,1,1,2504,1.0,0,0,142000
